ITERATION,MEASUREMENT,VALUE,SEED,CONTROL_GOAL_SPACE,USE_RESAMPLING
133,TRANSITIONS_MOVING_GOAL[%],0.994384765625,5,False,False
134,TRANSITIONS_MOVING_GOAL[%],0.9951171875,5,False,False
135,TRANSITIONS_MOVING_GOAL[%],0.995849609375,5,False,False
136,TRANSITIONS_MOVING_GOAL[%],0.99267578125,5,False,False
137,TRANSITIONS_MOVING_GOAL[%],0.9951171875,5,False,False
138,TRANSITIONS_MOVING_GOAL[%],0.99560546875,5,False,False
139,TRANSITIONS_MOVING_GOAL[%],0.995361328125,5,False,False
140,TRANSITIONS_MOVING_GOAL[%],0.9951171875,5,False,False
141,TRANSITIONS_MOVING_GOAL[%],0.996337890625,5,False,False
142,TRANSITIONS_MOVING_GOAL[%],0.9970703125,5,False,False
143,TRANSITIONS_MOVING_GOAL[%],0.99658203125,5,False,False
144,TRANSITIONS_MOVING_GOAL[%],0.99560546875,5,False,False
145,TRANSITIONS_MOVING_GOAL[%],0.996826171875,5,False,False
146,TRANSITIONS_MOVING_GOAL[%],0.997314453125,5,False,False
147,TRANSITIONS_MOVING_GOAL[%],0.996337890625,5,False,False
148,TRANSITIONS_MOVING_GOAL[%],0.997314453125,5,False,False
149,TRANSITIONS_MOVING_GOAL[%],0.99755859375,5,False,False
150,TRANSITIONS_MOVING_GOAL[%],0.99658203125,5,False,False
151,TRANSITIONS_MOVING_GOAL[%],0.997314453125,5,False,False
152,TRANSITIONS_MOVING_GOAL[%],0.997314453125,5,False,False
153,TRANSITIONS_MOVING_GOAL[%],0.996337890625,5,False,False
154,TRANSITIONS_MOVING_GOAL[%],0.996337890625,5,False,False
155,TRANSITIONS_MOVING_GOAL[%],0.996826171875,5,False,False
156,TRANSITIONS_MOVING_GOAL[%],0.996337890625,5,False,False
157,TRANSITIONS_MOVING_GOAL[%],0.9951171875,5,False,False
158,TRANSITIONS_MOVING_GOAL[%],0.99560546875,5,False,False
159,TRANSITIONS_MOVING_GOAL[%],0.9970703125,5,False,False
160,TRANSITIONS_MOVING_GOAL[%],0.99365234375,5,False,False
161,TRANSITIONS_MOVING_GOAL[%],0.995361328125,5,False,False
162,TRANSITIONS_MOVING_GOAL[%],0.995849609375,5,False,False
163,TRANSITIONS_MOVING_GOAL[%],0.995849609375,5,False,False
164,TRANSITIONS_MOVING_GOAL[%],0.994873046875,5,False,False
165,TRANSITIONS_MOVING_GOAL[%],0.995361328125,5,False,False
166,TRANSITIONS_MOVING_GOAL[%],0.995849609375,5,False,False
167,TRANSITIONS_MOVING_GOAL[%],0.9951171875,5,False,False
168,TRANSITIONS_MOVING_GOAL[%],0.995849609375,5,False,False
169,TRANSITIONS_MOVING_GOAL[%],0.99609375,5,False,False
170,TRANSITIONS_MOVING_GOAL[%],0.996826171875,5,False,False
171,TRANSITIONS_MOVING_GOAL[%],0.99560546875,5,False,False
172,TRANSITIONS_MOVING_GOAL[%],0.996826171875,5,False,False
173,TRANSITIONS_MOVING_GOAL[%],0.99755859375,5,False,False
174,TRANSITIONS_MOVING_GOAL[%],0.9970703125,5,False,False
175,TRANSITIONS_MOVING_GOAL[%],0.99658203125,5,False,False
176,TRANSITIONS_MOVING_GOAL[%],0.995849609375,5,False,False
177,TRANSITIONS_MOVING_GOAL[%],0.997314453125,5,False,False
178,TRANSITIONS_MOVING_GOAL[%],0.994384765625,5,False,False
179,TRANSITIONS_MOVING_GOAL[%],0.99609375,5,False,False
180,TRANSITIONS_MOVING_GOAL[%],0.9970703125,5,False,False
181,TRANSITIONS_MOVING_GOAL[%],0.99658203125,5,False,False
